Material,SALDO,C Promedio S/.,COSTO,C Promedio US$,PRECIO PUBLICO
MARTILLO D/HULE C/BLANCO 16 ONZ TRUPER                                                              ,4,5.75,S/ 6.79,1.83,
MARTILLO D/HULE C/BLANCO 24 ONZ TRUPER                                                              ,4,9.41,S/ 11.10,2.99,
MARTILLO M/GOMA KAMASA                                                                              ,23,11.86,S/ 14.00,3.37,S/ 22.00
MARTILLO M/MADERA 27MM C&A                                                                          ,-1,0.00,S/ 0.00,0.00,
MARTILLO SCHUBERT                                                                                   ,6,7.20,S/ 8.50,2.29,
MARTILLO TRAMONTINA                                                                                 ,13,13.81,S/ 23.00,4.39,
MASCARILLA CONTRA POLVO                                                                             ,12,7.63,S/ 9.00,2.42,
MASILLA P/CARRO 500GR. C/CATALIZADOR JHOMERON FLEX                                                  ,12,5.16,S/ 6.09,1.64,
MASILLA P/CARRO 500GR. C/CATALIZADOR TAMSA FLEX                                                     ,23,5.19,S/ 9.50,1.65,
MASILLA PARA MADERA 1 KG. DERQUSA                                                                   ,6,1.02,S/ 1.20,0.32,
MASILLA PARA MADERA 1 KG. LOSARO                                                                    ,21,1.23,S/ 1.45,0.39,
MASILLA PARA MADERA 1 KG. NOVACERAM                                                                 ,15,1.27,S/ 1.50,0.40,
MASILLA PARA PARED 1 KG. DERQUSA                                                                    ,14,1.10,S/ 1.30,0.35,
MASILLA PARA PARED 1 KG. LOSARO                                                                     ,37,1.20,S/ 1.41,0.38,
MASILLA PARA PARED 1 KG. MARTELL                                                                    ,19,1.44,S/ 1.70,0.46,
MASILLA PARA PARED 1 KG. NOVACERAM                                                                  ,22,1.27,S/ 1.50,0.40,
MASILLA PARA VIDRIO 1 KG. LOSARO                                                                    ,8,0.97,S/ 1.15,0.33,
MASILLA PARA VIDRIO 1 KG. MARTELL                                                                   ,4,1.27,S/ 1.50,0.43,
MATAMOSCA EN POLVO AGITA                                                                            ,18,5.08,S/ 6.00,1.61,
MATAMOSCA EN POLVO CHICA VERANO                                                                     ,50,1.53,S/ 1.80,0.39,
MAYOLICA 20X30 TEXAS II BEIGE EXT CELIMA                                                            ,20.64,10.08,S/ 11.90,3.20,
MAYOLICA 32X52 SUITE TERRA 1.67 CELIMA                                                              ,0.02,19.07,S/ 22.50,6.06,
MECHA PALETA JGO. X 6PZAS. BEST VALUE                                                               ,5,14.59,S/ 17.21,4.96,
MECHA PLANA P/MADERA 1                                                                              ,12,3.81,S/ 4.50,1.21,
MECHA PLANA P/MADERA 1 1/2                                                                          ,12,5.93,S/ 7.00,1.88,
MECHA PLANA P/MADERA 1 1/4                                                                          ,6,5.73,S/ 6.76,1.82,
MEDIDOR DE LUZ STRONGER ANALOGO                                                               ,,,S/ 45.00,,S/ 65.00
MEDIDOR DE LUZ STRONGER DIGITAL                                                               ,,,S/ 55.00,,S/ 75.00
MEDIDOR DE PRESION DOBLE CABEZA LARGO 33CM                                                          ,3,21.56,S/ 25.44,5.66,
MEDIDOR MONOFASICO CLASE 1.0 STRONGER                                                               ,2,29.66,S/ 35.00,9.42,
MEZCLADORA PARA DUCHA ITALGRIF,,,S/ 115.00,,S/ 200.00
MEZCLADORA PARA DUCHA ITALGRIF ORIGINAL,,,S/ 170.00,,S/ 230.00
MEZCLADORA PARA DUCHA ORIGINAL                                                                        ,-1,0.00,S/ 165.00,0.00,
MEZCLADORA PARA DUCHA TREBOL,,,S/ 80.00,,S/ 180.00
MEZCLADORA PARA DUCHA VAINSA,,,S/ 150.00,,S/ 240.00
MICA CARTON NACIONAL NRO 08                                                                         ,42.5,6.44,S/ 7.60,2.05,
MICA NRO 06                                                                                         ,95,4.36,S/ 5.15,1.39,
MINI KIT ACCES. ADHESIVO BLANCO TREBOL                                                              ,4,27.80,S/ 32.80,8.83,
MOLDIMIX                                                                                            ,-3,0.00,S/ 3.75,0.00,S/ 10.00
MOPA ALGODON REPUESTO 220 GR                                                                        ,3,5.65,S/ 6.67,1.80,
MOPA DE ALGODÓN MIRUTEX,,,S/ 6.95,,
MOPADE 500GR,,,S/ 10.00,,
MR MUSCULO BAÑO 500ML                                                                               ,5,4.26,S/ 5.03,1.35,
MR MUSCULO NARANJA 500ML                                                                            ,13,3.88,S/ 5.51,0.98,S/ 7.50
MULTICONECTOR C/VALVULA ROTOPLAS                                                              ,4,18.47,S/ 25.00,5.87,
"NIPLE 1 1/4""  X 1/2"" GALVANIZADO                                                                    ",-1,0.00,S/ 0.00,0.00,
"NIPLE 1"" x 1 1/2 PVC                                                                                ",-4,0.00,S/ 0.00,0.00,
"NIPLE 1/2"" X 1 1/2""                                                                                 ",-56,0.00,S/ 0.36,0.00,
"NIPLE 1/2"" X 1"" GALVANIZADO                                                                         ",-7,0.00,S/ 0.00,0.00,
"NIPLE 1/2"" X 1"" PVC                                                                                 ",-47,0.00,S/ 0.70,0.00,
"NIPLE 1/2"" X 2"" GALVANIZADO                                                                         ",55,0.62,S/ 0.73,0.20,
"NIPLE 1/2"" X 2"" PVC                                                                                 ",-56,0.00,S/ 0.80,0.00,
"NIPLE 1/2"" X 4"" GALVANIZADO                                                                         ",-1,0.00,S/ 0.00,0.00,
"NIPLE 1/2""X 1 1/2"" BRONCE GROSSO                                                                    ",94,1.54,S/ 1.82,0.49,
"NIPLE 1/2""X 1"" BRONCE GROSSO                                                                        ",82,1.10,S/ 1.30,0.35,
"NIPLE 1/2""X 2 1/2"" BRONCE GROSSO                                                                    ",98,2.42,S/ 2.86,0.77,
"NIPLE 1/2""X 2"" BRONCE GROSSO                                                                        ",100,1.98,S/ 2.34,0.63,
"NIPLE 1/2""X 3"" BRONCE GROSSO                                                                        ",97,2.86,S/ 3.38,0.91,
"NIPLE 1/4"" X 1/2""  GALVANIZADO                                                                      ",-2,0.00,S/ 0.00,0.00,
"NIPLE 1/4"" X 2"" GALVANIZADO                                                                         ",-2,0.00,S/ 0.00,0.00,
"NIPLE 1/4"" X 3"" GALVANIZADO                                                                         ",25,0.90,S/ 1.06,0.29,
"NIPLE 2"" X 3"" PVC                                                                                   ",-2,0.00,S/ 0.00,0.00,
"NIPLE 2"" X 6"" PVC                                                                                   ",-4,0.00,S/ 0.00,0.00,
"NIPLE 3/4"" x 2"" PVC                                                                                 ",-2,0.00,S/ 0.00,0.00,
NIPLE F/G P/DUCHA ELECTRICA  METAL                                                                       ,23,4.66,S/ 5.50,1.48,S/ 12.00
NIPLE F/G P/DUCHA ELECTRICA PVC                                                                         ,,,,,S/ 8.00
"NIVEL 14""  TRUPER                                                                                   ",5,12.29,S/ 14.50,3.90,
"NIVEL DE ALUMINIO 12"" STANLEY                                                                       ",5,12.71,S/ 15.00,4.04,
"NIVEL DE ALUMINIO 12"" TRUPER                                                                        ",12,14.91,S/ 17.59,4.73,
"NIVEL DE ALUMINIO 14"" TRUPER                                                                        ",19,17.54,S/ 16.50,5.14,S/ 22.00
"NIVEL DE ALUMINIO 18"" STANLEY                                                                       ",6,14.83,S/ 22.50,4.71,S/ 31.00
"NIVEL DE ALUMINIO 18"" TRAMONTINA                                                                    ",18,9.91,S/ 11.70,3.15,
"NIVEL DE ALUMINIO 18"" TRUPER                                                                        ",3,14.70,S/ 24.91,4.67,S/ 35.00
"NIVEL DE ALUMINIO 24"" STANLEY                                                                       ",3,17.80,S/ 21.00,5.65,
"NIVEL DE ALUMINIO 24"" TRUPER                                                                        ",4,39.78,S/ 31.29,10.07,S/ 42.00
NIVEL HEFESTO 1MT                                                                                  ,,,S/ 37.50,,
NIVEL HEFESTO 60CM                                                                                  ,3,23.73,S/ 28.00,6.01,S/ 36.00
"NIVEL PROFESIONAL 48""  TRUPER                                                                       ",5,40.93,S/ 48.30,13.00,
"NIVEL RESINA 12"" KAMASA                                                                             ",12,6.36,S/ 7.50,2.02,S/ 14.00
"NIVEL RESINA 14"" KAMASA                                                                             ",12,7.21,S/ 8.51,2.29,S/ 16.00
NOGALINA AMERICANA DERQUSA 1 KG.                                                                    ,1,18.64,S/ 22.00,5.92,
NORDEX LISO 1.52 x 2.44 x 3MM NORDEX                                                                ,33,16.85,S/ 19.88,5.35,
NYLON NRO 35 CAJA                                                                                       ,,,S/ 50.00,,
NYLON NRO 40                                                                                        ,19,2.37,S/ 2.80,0.75,
NYLON NRO 50                                                                                        ,15,2.80,S/ 3.30,0.89,
NYLON NRO 60 X CAJA                                                                                       ,18,2.03,S/ 60.00,0.65,
NYLON NRO 70                                                                                        ,16,2.33,S/ 2.75,0.74,
NYLON NRO 80                                                                                        ,19,2.84,S/ 3.35,0.90,
OCRE NEGRO Nº318 BAYER                                                                              ,-17,5.93,S/ 5.50,1.88,S/ 12.00
OCRE ROJO Nº120 BAYER                                                                               ,-5,4.66,S/ 5.50,1.48,S/ 12.00
